Lookback,Portfolio,Type,Annual_Return,Volatility,Sharpe,Max_Drawdown
18-1,10 Long Only,Long-Only,0.2966676858277848,0.20965293594752887,1.160189752137382,-0.21944941741855895
12-1,10 Long Only,Long-Only,0.23657459181077822,0.23397566957623805,0.8597051526594474,-0.25247030145241367
6-1,10 Long Only,Long-Only,0.22544956592330245,0.22824164863090246,0.8351081472801937,-0.2614722991609191
3-1,10 Long Only,Long-Only,0.17413480420975813,0.21799486345931435,0.6670368990302887,-0.27213375753624836
9-1,10 Long Only,Long-Only,0.15715210269207347,0.2363278357315743,0.5719124337430671,-0.2599301121897585
18-1,5/5,Long-Short,0.07161880349299388,0.31176485844412705,0.2530201701823375,-0.526737794978668
12-1,5/5,Long-Short,0.027147756400962342,0.3096357420963889,0.11502838346351615,-0.4993106290071847
6-1,5/5,Long-Short,0.010765248938977345,0.30716947269248684,0.06040199848554035,-0.3891964144343537
6-1,10/10,Long-Short,-0.00515293890780566,0.2317645274998264,-0.07557308333554054,-0.33276981994015953
3-1,10/10,Long-Short,-0.00783772783739689,0.2201607986651287,-0.10370476724044149,-0.4200160532216771
3-1,5/5,Long-Short,-0.040729917608617106,0.2871594050070921,-0.13795992400344576,-0.5094807838077053
12-1,10/10,Long-Short,-0.02116991358581588,0.2333494114572508,-0.14296684362798864,-0.3861311684168641
18-1,10/10,Long-Short,-0.0388226967264409,0.22166113836098691,-0.24476131364435005,-0.4701464005346485
9-1,10/10,Long-Short,-0.06290040145026088,0.22997409672467672,-0.3386066603157631,-0.4449238885629231
9-1,5/5,Long-Short,-0.11614990792430357,0.3174596809608596,-0.35482273228638334,-0.6260983570089385
